INITIALS_wos	frequency
VOW	7757
p	5171
r	4103
n	3204
s	3127
k	2556
p-r	2230
d	2013
z	1984
m	1767
b	1553
t	1235
v	1158
l	1001
tʃ	760
f	732
s-t	660
ʃ	650
ɡ	593
t-r	581
x	456
s-l	441
p-l	409
ts	403
k-r	384
j	372
s-k	361
s-p	350
ʒ	347
s-v	339
s-t-r	271
ɡ-r	254
k-l	247
s-m	231
s-r	214
b-r	174
ɡ-l	156
dʒ	155
b-l	143
d-r	141
ʃ-t	141
c	133
v-r	129
d-v	124
s-n	111
s-p-r	105
f-r	99
ɟ	90
z-b	87
v-l	84
s-k-r	82
z-l	78
k-v	72
f-l	62
s-p-l	62
s-k-l	61
m-r	60
x-r	59
ʃ-p	55
ts-R-n	51
ts-v	47
p-R-v	47
ts-R-v	46
z-ɡ	44
m-l	44
ʃ-l	44
m-n	43
dz-v	43
ɡ-n	42
k-n	41
z-d	40
p-s	36
ʃ-t-r	35
k-R-s-t	34
ʃ-k	34
ts-r	31
v-t	30
lj	30
v-k	27
dz	26
z-d-r	25
v-R-t	24
ʃ-m	24
ʒ-d-r	23
p-tʃ	21
z-ɡ-r	21
d-R-v	21
d-l	20
v-d	20
v-n	20
z-n	19
s-R-b	19
tʃ-k	19
v-tʃ	18
k-R-v	17
s-x	17
v-R-z	17
t-R-k	16
b-R-z	16
z-m	16
p-lj	15
s-v-r	15
ʃ-v	15
s-m-r	15
ʃ-k-r	15
dʒ-b	14
t-v-R-d	14
s-f	14
d-R-ʒ	14
s-m-R-d	14
tʃ-k-r	13
R-ʒ	13
t-R-p	13
t-v	13
m-R-t-v	13
k-R-ʃ-t	13
v-p	13
k-R-k	13
z-ɡ-l	13
t-k	13
s-R-d	12
tʃ-l	12
k-R-t	12
v-R-v	12
z-v	12
ts-R-k	11
ts-R-k-v	11
s-j	11
s-v-R-ʃ	11
v-R-b	11
m-R-s	11
p-R-s-t	11
b-R-b	11
s-v-l	11
s-k-R-ʒ	11
v-s	11
v-R-ʃ	11
ts-R-t	10
ɡ-R-ɡ	10
k-m	10
R-s-k	10
ɡ-R-b	10
k-R-ʃ	10
ʃ-n	10
x-l	10
p-ts	10
s-R-ts	10
p-n	9
t-R-n	9
v-k-l	9
s-t-R-m	9
t-R-ɡ	9
s-ts	9
f-R-l	8
s-t-R-v	8
ts-v-R-k	8
k-R-p	8
v-ʒ	8
k-R-m	8
s-tʃ	8
s-m-R-d-l	8
ɡ-R-l	8
f-R-tʃ	8
v-dʒ	8
k-R-l	8
z-r	8
s-t-v	8
R-ɟ	7
ɡ-R-m	7
s-v-R-z	7
ʒ-l	7
v-d-l	7
ts-R-ts	7
s-k-R-v	7
s-v-R-t	7
d-n	7
tʃ-p	7
s-R-tʃ	7
s-k-v	7
R-t	7
k-s	7
s-m-R-z-n	6
b-R-b-l	6
m-R-z-l	6
p-R-s-k	6
ʒ-m	6
s-k-R-ʃ	6
t-R-ʒ	6
z-b-r	6
m-R-z	6
s-m-R-t	6
m-R-m	6
m-R-ʃ	6
ʒ-n	6
s-m-R-ʃ-t	6
z-j	6
ɡ-R-d	6
ʃ-r	6
ɡ-R-tʃ	6
ʃ-t-R-b	6
R-b	6
ʃ-p-r	5
v-ɡ	5
v-m	5
s-t-v-R-d-n	5
t-R-tʃ	5
s-m-R-t-n	5
v-j	5
v-R-l	5
R-k	5
v-z	5
p-t	5
z-b-l	5
d-R-s-k	5
b-R-k	5
m-R-d	5
