WOS_place_initials	frequency
A	19038
L	10381
V	7757
D	4201
L-A	3710
A-A	2637
A-L	1424
D-A	1207
A-A-A	540
A-D	529
A-L-A	231
A-D-A	218
L-A-A	177
A-A-L	129
L-A-L	101
D-L	89
A-L-A-A	87
D-A-A-A	69
D-A-A	66
A-A-D	61
D-A-L	56
L-A-A-A	51
A-L-A-A-A	50
L-D	44
A-A-A-A	43
A-A-A-L	39
A-D-A-A	38
L-A-D	37
A-A-A-D	32
L-A-A-D	32
D-A-D	25
A-L-A-D	25
A-D-A-L	24
A-A-A-L-A	23
L-A-A-L	22
L-L	19
A-D-A-A-A	18
A-L-A-D-A	17
L-A-L-A	17
A-A-L-A	17
L-D-A	16
D-A-L-A	14
A-L-A-L	12
L-A-D-A	11
D-A-A-D	11
A-A-D-A	11
A-A-D-L	11
L-L-A	11
A-A-L-D	9
A-A-A-D-A	8
A-D-L	8
A-D-A-D	7
A-L-A-A-D	7
D-A-D-A	6
L-A-L-D	6
D-A-A-L	5
A-A-L-A-A-A	5
A-D-A-A-D	4
L-D-A-A-A	4
A-L-L	3
A-A-A-A-A	3
D-A-L-D	3
A-A-A-L-D	3
L-D-A-L	2
L-A-L-L	1
A-L-A-L-A	1
D-A-D-L	1
L-A-A-A-A	1
A-D-A-L-A	1
D-D	1
L-A-L-A-A-A	1
