monosyllabic_wos	sounds_q
а						VOW	<SUCS>VOW					
а						VOW	<SUCS>VOW					
ад						VOW	<SUCS>O					
ај						VOW	<SUCS>S					
ајнц						VOW	<SUCS>S	S	O			
ак						VOW	<SUCS>O					
акт						VOW	<SUCS>O	O				
ал						VOW	<SUCS>S					
ал						VOW	<SUCS>S					
ал						VOW	<SUCS>S					
алт						VOW	<SUCS>S	O				
ам						VOW	<SUCS>S					
ан						VOW	<SUCS>S					
ап						VOW	<SUCS>O					
апс						VOW	<SUCS>O	O				
ар						VOW	<SUCS>S					
арч						VOW	<SUCS>S	O				
ас						VOW	<SUCS>O					
ат						VOW	<SUCS>O					
афт						VOW	<SUCS>O	O				
баз						O	<SUCS>O					
базд						O	<SUCS>O	O				
бај						O	<SUCS>S					
бај						O	<SUCS>S					
бајт						O	<SUCS>S	O				
бал						O	<SUCS>S					
бан						O	<SUCS>S					
бар						O	<SUCS>S					
бар						O	<SUCS>S					
бард						O	<SUCS>S	O				
барз						O	<SUCS>S	O				
бас						O	<SUCS>O					
бач						O	<SUCS>O					
баџ						O	<SUCS>O					
баш						O	<SUCS>O					
баш						O	<SUCS>O					
баш						O	<SUCS>O					
баш						O	<SUCS>O					
баш						O	<SUCS>O					
баш						O	<SUCS>O					
бев						O	<SUCS>O					
бег						O	<SUCS>O					
беж						O	<SUCS>O					
без						O	<SUCS>O					
беј						O	<SUCS>S					
бек						O	<SUCS>O					
бел						O	<SUCS>S					
бенд						O	<SUCS>S	O				
бес						O	<SUCS>O					
беџ						O	<SUCS>O					
би						O	<SUCS>VOW					
би						O	<SUCS>VOW					
бивш						O	<SUCS>O	O				
бик						O	<SUCS>O					
бил						O	<SUCS>S					
бинт						O	<SUCS>S	O				
бир						O	<SUCS>S					
бит						O	<SUCS>O					
бич						O	<SUCS>O					
благ					O	S	<SUCS>O					
бланш					O	S	<SUCS>S	O				
блед					O	S	<SUCS>O					
блен					O	S	<SUCS>S					
блеф					O	S	<SUCS>O					
блех					O	S	<SUCS>O					
блик					O	S	<SUCS>O					
блиц					O	S	<SUCS>O					
блог					O	S	<SUCS>O					
блок					O	S	<SUCS>O					
блуд					O	S	<SUCS>O					
блуз					O	S	<SUCS>O					
бљуд					O	S	<SUCS>O					
боб						O	<SUCS>O					
бог						O	<SUCS>O					
бод						O	<SUCS>O					
боз						O	<SUCS>O					
бој						O	<SUCS>S					
бок						O	<SUCS>O					
бокс						O	<SUCS>O	O				
бон						O	<SUCS>S					
бор						O	<SUCS>S					
борд						O	<SUCS>S	O				
борч						O	<SUCS>S	O				
боршч						O	<SUCS>S	O	O			
бос						O	<SUCS>O					
бос						O	<SUCS>O					
бофл						O	<SUCS>O	S				
бош						O	<SUCS>O					
брав					O	S	<SUCS>O					
брак					O	S	<SUCS>O					
бран					O	S	<SUCS>S					
брат					O	S	<SUCS>O					
брбла			O	S	O	S	<SUCS>VOW					
брбла			O	S	O	S	<SUCS>VOW					
брблив			O	S	O	S	<SUCS>O					
брбло			O	S	O	S	<SUCS>VOW					
брбне			O	S	O	S	<SUCS>VOW					
брбор				O	S	O	<SUCS>S					
брго				O	S	O	<SUCS>VOW					
бргу				O	S	O	<SUCS>VOW					
брдо				O	S	O	<SUCS>VOW					
