WOS_monosyllabic	sounds_quality
а							<NUCL>					
а							<NUCL>					
ад							<NUCL>	O				
ај							<NUCL>	S				
ајнц							<NUCL>	S	S	O		
ак							<NUCL>	O				
акт							<NUCL>	O	O			
ал							<NUCL>	S				
ал							<NUCL>	S				
ал							<NUCL>	S				
алт							<NUCL>	S	O			
ам							<NUCL>	S				
ан							<NUCL>	S				
ап							<NUCL>	O				
апс							<NUCL>	O	O			
ар							<NUCL>	S				
арч							<NUCL>	S	O			
ас							<NUCL>	O				
ат							<NUCL>	O				
афт							<NUCL>	O	O			
баз						O	<NUCL>	O				
базд						O	<NUCL>	O	O			
бај						O	<NUCL>	S				
бај						O	<NUCL>	S				
бајт						O	<NUCL>	S	O			
бал						O	<NUCL>	S				
бан						O	<NUCL>	S				
бар						O	<NUCL>	S				
бар						O	<NUCL>	S				
бард						O	<NUCL>	S	O			
барз						O	<NUCL>	S	O			
бас						O	<NUCL>	O				
бач						O	<NUCL>	O				
баџ						O	<NUCL>	O				
баш						O	<NUCL>	O				
баш						O	<NUCL>	O				
баш						O	<NUCL>	O				
баш						O	<NUCL>	O				
баш						O	<NUCL>	O				
баш						O	<NUCL>	O				
бев						O	<NUCL>	O				
бег						O	<NUCL>	O				
беж						O	<NUCL>	O				
без						O	<NUCL>	O				
беј						O	<NUCL>	S				
бек						O	<NUCL>	O				
бел						O	<NUCL>	S				
бенд						O	<NUCL>	S	O			
бес						O	<NUCL>	O				
беџ						O	<NUCL>	O				
би						O	<NUCL>					
би						O	<NUCL>					
бивш						O	<NUCL>	O	O			
бик						O	<NUCL>	O				
бил						O	<NUCL>	S				
бинт						O	<NUCL>	S	O			
бир						O	<NUCL>	S				
бит						O	<NUCL>	O				
бич						O	<NUCL>	O				
благ					O	S	<NUCL>	O				
бланш					O	S	<NUCL>	S	O			
блед					O	S	<NUCL>	O				
блен					O	S	<NUCL>	S				
блеф					O	S	<NUCL>	O				
блех					O	S	<NUCL>	O				
блик					O	S	<NUCL>	O				
блиц					O	S	<NUCL>	O				
блог					O	S	<NUCL>	O				
блок					O	S	<NUCL>	O				
блуд					O	S	<NUCL>	O				
блуз					O	S	<NUCL>	O				
бљуд					O	S	<NUCL>	O				
боб						O	<NUCL>	O				
бог						O	<NUCL>	O				
бод						O	<NUCL>	O				
боз						O	<NUCL>	O				
бој						O	<NUCL>	S				
бок						O	<NUCL>	O				
бокс						O	<NUCL>	O	O			
бон						O	<NUCL>	S				
бор						O	<NUCL>	S				
борд						O	<NUCL>	S	O			
борч						O	<NUCL>	S	O			
боршч						O	<NUCL>	S	O	O		
бос						O	<NUCL>	O				
бос						O	<NUCL>	O				
бофл						O	<NUCL>	O	S			
бош						O	<NUCL>	O				
брав					O	S	<NUCL>	O				
брак					O	S	<NUCL>	O				
бран					O	S	<NUCL>	S				
брат					O	S	<NUCL>	O				
брбла			O	S	O	S	<NUCL>					
брбла			O	S	O	S	<NUCL>					
брблив			O	S	O	S	<NUCL>	O				
брбло			O	S	O	S	<NUCL>					
брбне			O	S	O	S	<NUCL>					
брбор				O	S	O	<NUCL>	S				
брго				O	S	O	<NUCL>					
бргу				O	S	O	<NUCL>					
брдо				O	S	O	<NUCL>					
брег					O	S	<NUCL>	O				
брез					O	S	<NUCL>	O				
брејк					O	S	<NUCL>	S	O			
бренд					O	S	<NUCL>	S	O			
брест					O	S	<NUCL>	O	O			
брза				O	S	O	<NUCL>					
брзак				O	S	O	<NUCL>	O				
брзга			O	S	O	O	<NUCL>					
брзне			O	S	O	S	<NUCL>					
брзо				O	S	O	<NUCL>					
брис					O	S	<NUCL>	O				
брич					O	S	<NUCL>	O				
бриџ					O	S	<NUCL>	O				
брка				O	S	O	<NUCL>					
бркне			O	S	O	S	<NUCL>					
брле				O	S	S	<NUCL>					
брлив				O	S	S	<NUCL>	O				
брлог				O	S	S	<NUCL>	O				
брмка			O	S	S	O	<NUCL>					
брмне			O	S	S	S	<NUCL>					
брмчи			O	S	S	O	<NUCL>					
брод					O	S	<NUCL>	O				
број					O	S	<NUCL>	S				
бром					O	S	<NUCL>	S				
броќ					O	S	<NUCL>	O				
брош					O	S	<NUCL>	O				
брошт					O	S	<NUCL>	O	O			
брсти			O	S	O	O	<NUCL>					
брус					O	S	<NUCL>	O				
брут					O	S	<NUCL>	O				
брца				O	S	O	<NUCL>					
брцка			O	S	O	O	<NUCL>					
брцне			O	S	O	S	<NUCL>					
брчи				O	S	O	<NUCL>					
брчка			O	S	O	O	<NUCL>					
брчка			O	S	O	O	<NUCL>					
брчкав			O	S	O	O	<NUCL>	O				
брчне			O	S	O	S	<NUCL>					
бршлен			O	S	O	S	<NUCL>	S				
був						O	<NUCL>	O				
бум						O	<NUCL>	S				
бунт						O	<NUCL>	S	O			
бут						O	<NUCL>	O				
валс						O	<NUCL>	S	O			
вам						O	<NUCL>	S				
вар						O	<NUCL>	S				
вас						O	<NUCL>	O				
ват						O	<NUCL>	O				
ваш						O	<NUCL>	O				
вдолж					O	O	<NUCL>	S	O			
вдрви			O	O	S	O	<NUCL>					
ве						O	<NUCL>					
веб						O	<NUCL>	O				
вез						O	<NUCL>	O				
век						O	<NUCL>	O				
вел						O	<NUCL>	S				
вергл						O	<NUCL>	S	O	S		
верс						O	<NUCL>	S	O			
вест						O	<NUCL>	O	O			
вет						O	<NUCL>	O				
веш						O	<NUCL>	O				
вешт						O	<NUCL>	O	O			
ви						O	<NUCL>					
вид						O	<NUCL>	O				
виј						O	<NUCL>	S				
вик						O	<NUCL>	O				
винт						O	<NUCL>	S	O			
вир						O	<NUCL>	S				
вис						O	<NUCL>	O				
вит						O	<NUCL>	O				
виц						O	<NUCL>	O				
виш						O	<NUCL>	O				
вкрстен		O	O	S	O	O	<NUCL>	S				
вкрсти		O	O	S	O	O	<NUCL>					
вкуп					O	O	<NUCL>	O				
вкус					O	O	<NUCL>	O				
Влав					O	S	<NUCL>	O				
влак					O	S	<NUCL>	O				
влас					O	S	<NUCL>	O				
власт					O	S	<NUCL>	O	O			
влез					O	S	<NUCL>	O				
влив					O	S	<NUCL>	O				
влог					O	S	<NUCL>	O				
внук					O	S	<NUCL>	O				
во						O	<NUCL>					
вод						O	<NUCL>	O				
вожд						O	<NUCL>	O	O			
воз						O	<NUCL>	O				
воз						O	<NUCL>	O				
вој						O	<NUCL>	S				
вол						O	<NUCL>	S				
волк						O	<NUCL>	S	O			
волт						O	<NUCL>	S	O			
вон						O	<NUCL>	S				
врав					O	S	<NUCL>	O				
враг					O	S	<NUCL>	O				
вран					O	S	<NUCL>	S				
врат					O	S	<NUCL>	O				
врач					O	S	<NUCL>	O				
врба				O	S	O	<NUCL>					
врбак				O	S	O	<NUCL>	O				
врбјак			O	S	O	S	<NUCL>	O				
врбов				O	S	O	<NUCL>	O				
врвеж				O	S	O	<NUCL>	O				
врвен				O	S	O	<NUCL>	S				
